22991700	telfer manlift sepetli platform kule vinç mobil vinç hiyap
24101500	istif makinesi akülü istifleyici clark
24101600	transpalet caraskal ceraskal lift kaldırma platformu
40151600	hava kompresörü vidalı kompresör pistonlu kompresör
23271400	inverter kaynak gazaltı mig mag tig elektrot punta kaynak
27111500	matkap hilti kırıcı delici breaker el aleti avuç taşlama spiral
26111600	jeneratör agregat dizel jeneratör benzinli jeneratör
30991900	baret iş eldiveni emniyet kemeri iş ayakkabısı koruyucu gözlük toz maskesi kulak tıkacı yüksekte çalışma
39991500	elektrik panosu dağıtım panosu sayaç panosu sac pano
39991600	şalter kesici sigorta kontaktör röle otomat kaçak akım rölesi
26121600	nyaf nym ttr enerji kablosu zayıf akım kablosu
31211500	epoksi boya antipas astar son kat
15121500	madeni yağ hidrolik yağ motor yağı şanzıman yağı
15121900	gres yağı
31171500	bilyalı yatak masuralı yatak keçe
40141600	küresel vana kelebek vana sürgülü vana çekvalf valf aktüatör
40151500	santrifüj pompa dalgıç pompa hidrofor devirdaim
30991500	cephe iskelesi flanşlı iskele h tipi iskele mobil iskele
30991600	panel kalıp tünel kalıp kalıp kirişi tela
31151500	çelik halat sling halatı
24991500	rigging sling polyester sapan zincir sapan gergi kayışı
39111600	projektör sokak aydınlatma armatürü
43211500	laptop notebook masaüstü bilgisayar pc
43212100	printer lazer yazıcı mürekkep püskürtmeli
40101500	fan aspiratör klima santrali hvac kanal tipi
22991500	beton pompası transmikser beton vibratörü perdah makinesi
30111500	hazır beton çimento harç şap
44111900	yazı tahtası beyaz tahta mantar pano
11991501	paslanmaz boru inox aisi 304 316 dikişsiz seamless krom boru
11991502	paslanmaz sac inox levha 304 316 desenli plaka
11991503	paslanmaz lama mil çubuk krom kare
11991504	paslanmaz civata somun pul inox bağlantı elemanı
11991601	galvaniz sac dkp rulo sıcak daldırma çinko
11991602	galvaniz boru profil kutu direk
11991603	galvaniz kaplama sıcak daldırma daldırma hizmet
11991701	alüminyum profil sigma ekstrüzyon alimünyum
11991702	alüminyum sac levha rulo plaka alimünyum
11991703	alüminyum boru kutu profil alimünyum
11991801	siyah boru dikişli dikişsiz çelik erw spiral
11991802	sac hrp crp dkp levha rulo siyah sac
11991803	lama köşebent npu ipe hea heb profil kiriş çelik
11991804	inşaat demiri nervürlü hasır çelik betonarme filiz
23991701	cnc torna tornalama torna işleme parça imalat
23991702	cnc freze işleme merkezi frezeleme dik yatay
23991703	cnc taşlama honlama silindirik yüzey
23991704	erozyon edm tel erozyon dalma wire cut
23991801	lazer kesim fiber lazer sac kesim boru kesim
23991802	plazma kesim oksijen alevle kesme
23991803	su jeti waterjet abrasive kesim
23991804	abkant büküm press brake şekillendirme
23991805	punch cnc delme sac delik zımba
23991901	enjeksiyon kalıp plastik kalıbı mold kalıpçılık
23991902	sac kalıp progresif metal kalıp transfer kalıp
23991903	döküm modeli maça kalıp model imalat
23992001	kaynak teli elektrot gazaltı özlü tel argon sarf
23992002	kaynak makinesi mig tig örtülü inverter punta
23992003	robot kaynak otomatik kaynak fikstür hizmet
31991501	redüktör dişli kutusu reduktor gearbox helisel sonsuz planet
31991502	kaplin kavrama şaft bağlantı elastik kaplın
31991503	kayış kasnak zincir dişli triger v kayışı konveyör
31991504	lineer kızak vidalı mil rulmanlı yatak lineer hareket rulman
31991601	hidrolik hortum rakor bağlantı yüksek basınç presli
31991602	hidrolik silindir piston kriko teleskopik
31991603	hidrolik pompa valf dağıtıcı hidromotor
31991604	hidrolik güç ünitesi power pack hidrolik ünite
31991701	pnömatik silindir aktüatör havalı piston pnomatik
31991702	pnömatik valf şartlandırıcı regülatör pnomatik
31991703	pnömatik hortum bağlantı fitting poliüretan pnomatik
31991801	oring o-ring keçe sızdırmazlık conta salmastra gasket
31991802	titreşim takozu kompansatör körük damper amortisör
39992001	servo motor servo sürücü driver enkoderli
39992002	frekans invertörü vfd hız kontrol sürücü inverter
39992003	elektrik motoru asenkron trifaze monofaze fan motoru
39992004	motoredüktör redüktörlü motor gearmotor
39992101	kablo kanalı tava kablo taşıma sistemi
39992102	kablo merdiveni askı konsol
30991904	iş ayakkabısı iş güvenliği ayakkabısı çelik burunlu bot güvenlik ayakkabı
30991901	baret kask kafa koruma güvenlik bareti
30991902	iş eldiveni koruyucu eldiven deri eldiven nitril
30991903	emniyet kemeri paraşüt tipi lanyard yaşam hattı
30991906	toz maskesi solunum maskesi ffp2 ffp3 respiratör
24991505	caraskal ceraskal zincir palanga el vinci manuel vinç
24991502	zincir sapan zincir palanga kaldırma zinciri
