# i18n Faz 4b — nitelik etiketi/seçenek çevirileri (kategori ⇥ groupKey ⇥ EN ⇥ RU ⇥ EN seçenekler | ⇥ RU seçenekler |).
# ÜRETİLMİŞ (staging Gemini Pro toplu işi → export). Elle düzeltme serbest; seçenekler `options` ile aynı sırada.
10000000	saklama	Transport / Storage	Транспортировка / хранение	Room temperature|Cold chain|Live transport	Комнатная температура|Холодовая цепь|Перевозка живых животных
10000000	sertifika	Certificate	Сертификат	Organic certificate|GlobalGAP|Phytosanitary certificate|Veterinary health certificate	Органический сертификат|GlobalGAP|Фитосанитарный сертификат|Ветеринарный сертификат здоровья
10000000	uretim_bicimi	Production Method	Способ производства	Conventional|Organic|Greenhouse|Open field	Традиционный|Органический|Тепличный|Открытый грунт
10000000	urun_grubu	Product Group	Группа товаров	Ornamental plant|Seedling / sapling|Seed|Cut flower|Live animal|Feed|Fertilizer	Декоративное растение|Рассада / саженец|Семя|Срезанный цветок|Животное|Корм|Удобрение
11000000	form	Form	Форма	Sheet|Coil|Bar / Rod|Pipe|Profile|Wire|Powder|Ingot|Scrap	Лист|Рулон|Пруток / стержень|Труба|Профиль|Проволока|Порошок|Слиток|Лом
11000000	kalinlik	Thickness	Толщина		
11000000	malzeme	Material	Материал	Steel|Stainless steel|Aluminum|Copper|Brass|Cast iron|Zinc|Titanium	Сталь|Нержавеющая сталь|Алюминий|Медь|Латунь|Чугун|Цинк|Титан
11000000	standart	Standard	Стандарт	EN|DIN|ASTM|TSE|ISO|JIS|GOST	EN|DIN|ASTM|TSE|ISO|JIS|GOST
11000000	yuzey	Surface Treatment	Обработка поверхности	Raw|Galvanized|Painted|Polished|Anodized|Coated|Electrostatic powder coating	Сырой|Оцинкованный|Окрашенный|Полированный|Анодированный|Покрытый|Электростатическая порошковая окраска
12000000	ambalaj	Packaging	Упаковка	Canister|Barrel|IBC tank|Bag|Big bag|Bulk|Cylinder	Канистра|Бочка|IBC контейнер|Мешок|Биг-бэг|Навалом|Баллон
12000000	fiziksel_hal	Physical State	Физическое состояние	Solid|Liquid|Gas|Powder|Granule|Paste	Твердое вещество|Жидкость|Газ|Порошок|Гранулы|Паста
12000000	saflik	Purity	Чистота		
12000000	sertifika	Certificate	Сертификат	REACH|ISO 9001|GMP|Halal|Kosher|SDS available	REACH|ISO 9001|GMP|Halal|Kosher|Наличие ПБ (SDS)
12000000	tehlike	Hazard Class	Класс опасности	Non-hazardous|Flammable|Corrosive|Toxic|Oxidizing|Environmentally hazardous	Неопасный|Легковоспламеняющийся|Коррозийный|Токсичный|Окисляющий|Опасный для окружающей среды
13000000	form	Form	Форма	Granule|Powder|Sheet|Profile|Film|Liquid|Masterbatch	Гранулы|Порошок|Лист|Профиль|Пленка|Жидкость|Суперконцентрат (мастербатч)
13000000	geri_donusum	Raw Material Source	Источник сырья	Virgin|Recycled|Mixed	Первичное|Вторичное|Смесь
13000000	polimer	Polymer Type	Тип полимера	PE|PP|PVC|PET|PS|ABS|PA (nylon)|POM|PU|Silicone|EPDM|NBR|Natural rubber	PE|PP|PVC|PET|PS|ABS|PA (нейлон)|POM|PU|Силикон|EPDM|NBR|Натуральный каучук
13000000	sertlik	Hardness	Твердость		
13000000	standart	Standard	Стандарт	EN|DIN|ASTM|TSE|ISO|JIS|GOST	EN|DIN|ASTM|TSE|ISO|JIS|GOST
14000000	form	Form	Форма	Reel|Sheet|Roll|Box	Боббина|Лист|Рулон|Коробка
14000000	geri_donusum	Raw Material Source	Источник сырья	Virgin|Recycled|Mixed	Первичное|Вторичное|Смесь
14000000	gramaj	Grammage	Плотность (г/м²)		
14000000	kagit_tipi	Paper Type	Тип бумаги	Kraft|Corrugated cardboard|Coated|Wood-free|Newsprint|Tissue paper|Cardboard	Крафт|Гофрокартон|Мелованная|Без древесной массы|Газетная|Санитарно-гигиеническая|Картон
14000000	sertifika	Certificate	Сертификат	FSC|PEFC|ISO 9001|Food grade	FSC|PEFC|ISO 9001|Пищевой допуск
15000000	ambalaj	Packaging	Упаковка	Barrel|Canister|IBC tank|Cylinder|Bulk	Бочка|Канистра|IBC контейнер|Баллон|Навалом
15000000	parlama_noktasi	Flash Point	Температура вспышки		
15000000	standart	Standard	Стандарт	API|ACEA|SAE|ISO|TSE|EPDK licensed	API|ACEA|SAE|ISO|TSE|Лицензия EPDK
15000000	urun_tipi	Product Type	Тип продукта	Fuel|Mineral oil|Grease|Additive|LPG / LNG|Solid fuel|Biofuel	Топливо|Минеральное масло|Смазка|Присадка|LPG / LNG|Твердое топливо|Биотопливо
15000000	viskozite	Viscosity Grade	Класс вязкости		
20000000	durum	Product Condition	Состояние товара	New|Used|Refurbished	Новый|Б/у|Восстановленный
20000000	guc	Motor Power	Мощность двигателя		
20000000	kapasite	Capacity	Производительность		
20000000	makine_tipi	Machine Type	Тип машины	Driller|Crusher|Grinder|Screening|Washing|Conveyor|Drilling rig	Буровая установка|Дробилка|Измельчитель|Грохот|Моечная установка|Конвейер|Буровая вышка
20000000	uretim_yili	Year of Manufacture	Год выпуска		
21000000	calisma_genisligi	Working Width	Рабочая ширина		
21000000	durum	Product Condition	Состояние товара	New|Used|Refurbished	Новый|Б/у|Восстановленный
21000000	guc	Engine Power	Мощность двигателя		
21000000	makine_tipi	Machine Type	Тип машины	Tractor|Tillage|Planting / seeding|Spraying|Harvesting|Irrigation|Feed preparation|Milking|Fishing equipment	Трактор|Обработка почвы|Посев / посадка|Опрыскивание|Сбор урожая|Орошение|Приготовление кормов|Доение|Рыболовное оборудование
21000000	uretim_yili	Year of Manufacture	Год выпуска		
22000000	calisma_saati	Operating hours	Наработка		
22000000	durum	Product Condition	Состояние товара	New|Used|Refurbished	Новый|Б/у|Восстановленный
22000000	ekipman_tipi	Equipment type	Тип оборудования	Excavator|Loader|Dozer|Grader|Roller|Crane|Tower crane|Concrete pump	Экскаватор|Погрузчик|Бульдозер|Грейдер|Каток|Кран|Башенный кран|Бетононасос
22000000	operasyon_agirligi	Operating weight	Рабочий вес		
22000000	uretim_yili	Year of manufacture	Год выпуска		
23000000	besleme	Supply voltage	Напряжение питания	220 V single-phase|380 V three-phase|Other	220 В однофазное|380 В трехфазное|Другое
23000000	durum	Product condition	Состояние товара	New|Used|Refurbished	Новый|Б/у|Восстановленный
23000000	guc	Motor power	Мощность двигателя		
23000000	kontrol	Control type	Тип управления	CNC|PLC|Semi-automatic|Manual	ЧПУ|ПЛК|Полуавтомат|Ручное
